"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","NCHILD","NCHLT5","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
2020,202001,737,2020010052964,7598.0,2020000007371,270201,4,1,7598.0,0,0,2,20,6,2,200,0,0,7,71,1,10,1000,1,11
2020,202001,999,2020010070592,7205.0,2020000009991,130201,4,1,7205.0,0,0,2,21,6,1,100,0,0,6,63,1,10,0,1,11
2020,202001,1130,2020010079882,5502.0,2020000011301,200001,4,1,5502.0,0,0,1,20,6,1,100,0,0,7,71,1,12,1700,1,11
2020,202001,1261,2020010089097,7598.0,2020000012611,130101,4,1,7598.0,0,0,1,18,6,1,100,0,0,6,65,1,10,16500,1,11
2020,202001,2047,2020010144094,7336.0,2020000020471,110001,4,1,7336.0,0,0,2,18,6,1,100,0,0,6,63,1,10,2300,1,11
2020,202001,2702,2020000004287,63928.0,2020000027021,130201,1,1,63928.0,0,0,2,27,6,1,100,0,0,6,63,1,10,47000,1,11
2020,202001,2833,2020000014526,22663.0,2020000028331,170001,1,1,22663.0,0,0,1,58,3,2,200,0,0,6,63,1,10,40000,1,11
2020,202001,2964,2020000023652,16768.0,2020000029641,70001,1,2,17947.0,0,0,2,59,1,8,826,1,100,2,23,1,10,23900,1,11
2020,202001,3095,2020000034295,4847.0,2020000030951,250001,1,1,4847.0,0,0,1,47,4,1,100,0,0,7,71,1,10,60000,1,11
2020,202001,3357,2020000050768,8515.0,2020000033571,230001,1,1,8515.0,0,0,1,59,1,2,200,0,0,7,71,1,10,50000,1,11
2020,202001,3750,2020000078499,6419.0,2020000037501,230001,1,1,6419.0,2,0,1,45,1,3,310,0,0,7,71,1,10,96000,1,11
2020,202001,3750,2020000078499,6419.0,2020000037501,230001,1,2,5633.0,2,0,2,38,1,3,310,0,0,10,101,1,10,49500,1,11
2020,202001,4012,2020000098474,7729.0,2020000040121,10001,1,3,10742.0,0,0,1,47,6,1,100,0,0,10,101,1,10,39000,1,11
2020,202001,4143,2020000108869,10611.0,2020000041431,30101,1,1,10611.0,0,0,2,57,1,1,100,0,0,6,63,1,10,75000,1,11
2020,202001,4143,2020000108869,10611.0,2020000041431,30101,1,2,13100.0,0,0,1,59,1,1,100,0,0,6,63,1,10,75000,2,20
2020,202001,4274,2020000118317,7467.0,2020000042741,90001,1,1,7467.0,0,0,1,64,1,1,100,0,0,6,65,1,10,130000,1,11
2020,202001,4405,2020000125991,13755.0,2020000044051,130301,1,1,13755.0,0,0,2,29,1,1,100,0,0,10,101,1,10,60000,1,11
2020,202001,4405,2020000125991,13755.0,2020000044051,130301,1,2,14279.0,0,0,1,31,1,1,100,0,0,10,101,1,10,85000,1,11
2020,202001,4667,2020000144575,14148.0,2020000046671,30101,1,1,14148.0,0,0,2,45,1,1,100,0,0,11,114,1,10,50000,1,11
2020,202001,4667,2020000144575,14148.0,2020000046671,30101,1,2,12576.0,0,0,1,47,1,1,100,0,0,10,101,1,10,110000,1,11
2020,202001,4798,2020000153771,15065.0,2020000047981,270201,1,2,17816.0,0,0,1,43,6,2,200,0,0,5,50,1,10,22900,1,11
2020,202001,4929,2020000162958,15196.0,2020000049291,30101,1,1,15196.0,3,1,2,26,6,2,200,0,0,7,71,1,12,14000,1,11
2020,202001,5322,2020000189606,5240.0,2020000053221,60001,1,1,5240.0,0,0,1,57,4,8,802,0,0,4,40,1,10,105000,1,11
2020,202001,5453,2020000198277,18078.0,2020000054531,130501,1,1,18078.0,0,0,1,40,6,2,200,0,0,6,64,1,12,0,1,11
2020,202001,5715,2020000214727,3406.0,2020000057151,250001,1,2,6419.0,0,0,1,26,6,1,100,0,0,8,81,1,10,47000,1,11
2020,202001,5846,2020000224912,23056.0,2020000058461,40001,1,1,23056.0,1,0,1,35,1,1,100,0,0,5,50,1,10,90000,1,11
2020,202001,5846,2020000224912,23056.0,2020000058461,40001,1,3,16113.0,0,0,1,18,6,1,100,0,0,6,63,1,10,0,1,11
2020,202001,5977,2020000234418,18471.0,2020000059771,150001,1,2,16375.0,2,1,1,26,1,1,100,0,0,8,81,1,10,53000,1,11
2020,202001,6239,2020000255009,14803.0,2020000062391,170001,1,1,14803.0,1,0,2,61,5,2,200,0,0,7,71,1,10,9200,1,11
2020,202001,6370,2020000264626,14541.0,2020000063701,170001,1,1,14541.0,0,0,1,45,5,1,100,0,0,6,63,1,10,40000,1,11
2020,202001,6501,2020000274863,14541.0,2020000065011,170001,1,1,14541.0,1,0,1,49,1,1,100,0,0,4,40,1,10,40000,1,11
2020,202001,6501,2020000274863,14541.0,2020000065011,170001,1,2,18078.0,1,0,2,48,1,1,100,0,0,7,71,1,10,58000,1,11
2020,202001,6501,2020000274863,14541.0,2020000065011,170001,1,3,19912.0,1,1,1,26,4,1,100,0,0,6,63,1,10,14000,1,11
2020,202001,6763,2020000293137,1965.0,2020000067631,250001,1,1,1965.0,0,0,1,63,1,2,200,0,0,6,63,1,10,23000,1,11
2020,202001,6894,2020000302447,14279.0,2020000068941,50001,1,1,14279.0,0,0,2,60,1,1,100,0,0,10,101,1,10,2700,1,11
2020,202001,7025,2020000310899,31571.0,2020000070251,130301,1,1,31571.0,1,0,2,42,1,1,100,0,0,8,81,1,10,35000,1,11
2020,202001,7025,2020000310899,31571.0,2020000070251,130301,1,2,29737.0,1,0,1,49,1,1,100,0,0,10,101,1,10,110000,1,11
2020,202001,7156,2020000320687,8777.0,2020000071561,210001,1,1,8777.0,0,0,1,49,1,1,100,0,0,10,101,1,10,0,1,11
2020,202001,7156,2020000320687,8777.0,2020000071561,210001,1,2,10349.0,0,0,2,47,1,1,100,0,0,6,63,1,10,0,1,11
2020,202001,7287,2020000329129,13755.0,2020000072871,270201,1,1,13755.0,2,1,1,42,1,1,100,0,0,7,71,1,10,88000,1,11
2020,202001,7287,2020000329129,13755.0,2020000072871,270201,1,2,14541.0,2,1,2,39,1,1,100,0,0,10,101,1,10,50000,1,11
2020,202001,7287,2020000329129,13755.0,2020000072871,270201,1,5,11397.0,1,0,2,61,4,1,100,0,0,6,63,1,10,50000,1,11
2020,202001,7418,2020000339341,4585.0,2020000074181,250001,1,1,4585.0,0,0,1,60,1,1,100,0,0,11,114,1,10,50000,1,11
2020,202001,7418,2020000339341,4585.0,2020000074181,250001,1,2,3668.0,0,0,2,58,1,1,100,0,0,10,101,1,10,48000,1,11
2020,202001,7549,2020000348973,5502.0,2020000075491,230001,1,1,5502.0,2,0,2,58,1,1,100,0,0,6,63,1,10,32000,1,11
2020,202001,7549,2020000348973,5502.0,2020000075491,230001,1,3,11004.0,0,0,1,33,6,1,100,0,0,6,61,1,10,50000,1,11
2020,202001,7549,2020000348973,5502.0,2020000075491,230001,1,4,8908.0,0,0,1,29,6,1,100,0,0,6,63,1,10,22000,1,11
2020,202001,7811,2020000368174,8253.0,2020000078111,110001,1,3,11659.0,0,0,1,46,6,1,100,0,0,6,63,1,10,8000,1,11
2020,202001,7811,2020000368174,8253.0,2020000078111,110001,1,5,11921.0,0,0,2,46,6,1,100,0,0,6,63,1,10,32000,1,11
2020,202001,7942,2020000377202,14410.0,2020000079421,210001,1,1,14410.0,0,0,2,45,1,2,200,0,0,10,101,1,10,120000,1,11
2020,202001,7942,2020000377202,14410.0,2020000079421,210001,1,2,11528.0,0,0,1,40,1,2,200,0,0,10,101,1,10,89000,1,11
2020,202001,8466,2020000414233,11921.0,2020000084661,70001,1,2,9956.0,0,0,2,56,1,1,100,0,0,3,30,1,10,29200,1,11
2020,202001,8728,2020000433271,2882.0,2020000087281,250001,1,2,4585.0,1,0,1,56,1,2,200,0,0,6,65,1,10,23000,1,11
2020,202001,8728,2020000433271,2882.0,2020000087281,250001,1,3,8384.0,0,0,2,33,6,2,200,0,0,11,114,1,10,69000,1,11
2020,202001,9121,2020000461000,9825.0,2020000091211,220001,1,3,12707.0,0,0,2,22,6,1,100,0,0,10,101,1,10,40000,1,11
2020,202001,9252,2020000471517,7598.0,2020000092521,70001,1,1,7598.0,0,0,1,63,1,1,100,0,0,7,71,1,10,100000,1,11
2020,202001,9514,2020000492016,23187.0,2020000095141,130401,1,1,23187.0,1,0,2,50,1,1,100,0,0,10,101,1,10,20000,1,11
2020,202001,9514,2020000492016,23187.0,2020000095141,130401,1,2,23711.0,1,0,1,62,1,1,100,0,0,10,101,1,10,200000,1,11
2020,202001,9907,2020000520443,20567.0,2020000099071,270201,1,1,20567.0,0,0,2,48,6,2,200,0,0,10,101,1,10,68000,1,11
2020,202001,10169,2020000537018,3537.0,2020000101691,250001,1,1,3537.0,0,0,1,51,1,1,100,0,0,10,101,1,10,104000,1,11
2020,202001,10169,2020000537018,3537.0,2020000101691,250001,1,2,3799.0,0,0,2,49,1,1,100,0,0,10,101,1,10,48000,1,11
2020,202001,10431,2020000557968,17554.0,2020000104311,220001,1,1,17554.0,1,0,1,35,1,1,100,0,0,7,71,1,10,35000,1,11
